Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
874;FC4T40_LU01AB_HX01_ME1;Hochregallager AB-Feuchte H% Messung;1;C;;N;;;;;PLC;1;!19333.AI.12.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_ME1;0;;0;;0;0;0;0;0
875;FC4T40_LU01AB_HX01_RG1;Hochregallager Führungsregler (Abluft);1;C;;N;;;;;PLC;1;!19333.LP.3.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_RG1;0;;0;;0;0;0;0;0
876;FC4T40_LU01AB_HX01_XC1;Hochregallager XSC AB-Feuchte absolut;1;C;;N;;;;;PLC;1;!19333.AV.40.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_XC1;0;;0;;0;0;0;0;0
877;FC4T40_LU01AB_HX01_XS1;Sollwert Ablufttfeuchte;1;C;;N;;;;;PLC;1;!19333.AV.23.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_XS1;0;;0;;0;0;0;0;0
878;FC4T40_LU01AB_PM01_ME1;Hochregallager AB-Druck Messung;1;C;;N;;;;;PLC;1;!19333.AI.4.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_PM01_ME1;0;;0;;0;0;0;0;0
879;FC4T40_LU01AB_TM01_GW2;Hochregallager SoKo GW-ATo;1;C;;N;;;;;PLC;1;!19333.AV.11.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_TM01_GW2;0;;0;;0;0;0;0;0
880;FC4T40_LU01AB_TM01_ME1;Hochregallager AB-Temp. Messung;1;C;;N;;;;;PLC;1;!19333.AI.8.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_TM01_ME1;0;;0;;0;0;0;0;0
881;FC4T40_LU01AB_TM01_RG1;Hochregallager Führungsregler (Abluft);1;C;;N;;;;;PLC;1;!19333.LP.1.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_TM01_RG1;0;;0;;0;0;0;0;0
882;FC4T40_LU01AB_TM01_TN1;Hochregallager SoKo GW-ATu;1;C;;N;;;;;PLC;1;!19333.AV.18.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_TM01_TN1;0;;0;;0;0;0;0;0
883;FC4T40_LU01AB_TM01_XC1;Hochregallager XSC AB-Temperatur;1;C;;N;;;;;PLC;1;!19333.AV.34.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_TM01_XC1;0;;0;;0;0;0;0;0
884;FC4T40_LU01AB_TM01_XS1;Hochregallager Sollwert Ablufttemperatur;1;C;;N;;;;;PLC;1;!19333.AV.16.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_TM01_XS1;0;;0;;0;0;0;0;0
885;FC4T40_LU01AG_BK01_AL1;Hochregallager ZU-/AB-Brandschutzklappen Gerätestörung;1;C;;N;;;;;PLC;1;!19333.BI.5.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AG_BK01_AL1;0;;0;;0;0;0;0;0
886;FC4T40_LU01AG_BK01_AL2;Hochregallager Störung Laufzeit BSK;1;C;;N;;;;;PLC;1;!19333.BO.15.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AG_BK01_AL2;0;;0;;0;0;0;0;0
887;FC4T40_LU01AG_BK01_RM1;Hochregallager ZU-/AB-Brandschutzklappen RM Auf;1;C;;N;;;;;PLC;1;!19333.BI.7.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;4;FC4T40_LU01AG_BK01_RM1;0;;0;;0;0;0;0;0
888;FC4T40_LU01AG_BK01_RM2;Hochregallager ZU-/AB-Brandschutzklappen RM Zu;1;C;;N;;;;;PLC;1;!19333.BI.6.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;4;FC4T40_LU01AG_BK01_RM2;0;;0;;0;0;0;0;0
889;FC4T40_LU01AG_BK01_SB1;Hochregallager ZU-/AB-Brandschutzklappen Bf Auf;1;C;;N;;;;;PLC;1;!19333.BO.3.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;5;FC4T40_LU01AG_BK01_SB1;0;;0;;0;0;0;0;0
890;FC4T40_LU01AU_DP01_AL1;Hochregallager ZU-Strömungswächter Alarm;1;C;;N;;;;;PLC;1;!19333.BI.21.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AU_DP01_AL1;0;;0;;0;0;0;0;0
891;FC4T40_LU01AU_DP01_AL2;Hochregallager AU-Strömungswächter Alarm;1;C;;N;;;;;PLC;1;!19333.BO.18.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AU_DP01_AL2;0;;0;;0;0;0;0;0
892;FC4T40_LU01AU_HX01_ME1;Hochregallager AU-Feuchte H% Messung;1;C;;N;;;;;PLC;1;!19333.AI.10.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AU_HX01_ME1;0;;0;;0;0;0;0;0
893;FC4T40_LU01AU_LK01_AL1;Hochregallager Störung Laufzeit Aussenluft-Klappe;1;C;;N;;;;;PLC;1;!19333.BO.16.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_LU01AU_LK01_AL1;0;;0;;0;0;0;0;0
894;FC4T40_LU01AU_LK01_RM1;Hochregallager AU-/FO-Klappe RM Auf;1;C;;N;;;;;PLC;1;!19333.BI.9.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_LU01AU_LK01_RM1;0;;0;;0;0;0;0;0
