Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
16;O1_B101_AVZ001_V03;XSM GWMin Spul VSR  SiZi 238_[%];38fcf4f1;C;;N;;;;;PLC;0;001:246_75_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_AVZ001_V03;0;;0;;0;0;0;0;0
17;O1_B101_CAB001_V03;XS GWMin CO2 SiZi 238_[ppm];38fcf4f1;C;;N;;;;;PLC;0;001:246_85_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_V03;0;;0;;0;0;0;0;0
18;O1_B101_TRM001_V04;XS GWMax RaumtemperaturSiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_84_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_V04;0;;0;;0;0;0;0;0
19;O1_B101_TRM001_V03;XS GWMin RaumtemperaturSiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_81_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_V03;0;;0;;0;0;0;0;0
20;O1_B101_CAB001_A01;GWMin CO2 SiZi 238;38fcf4f1;C;;N;;;;;PLC;0;001:246_86_BN_31;N;;;;;;;;D;;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_A01;0;;0;;0;0;0;0;0
21;O1_B101_SV0010_V03;Y1 Sommerschiebung   SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_78_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_SV0010_V03;0;;0;;0;0;0;0;0
22;O1_B101_CAB001_A02;GWMax CO2 SiZi 238;38fcf4f1;C;;N;;;;;PLC;0;001:246_88_BN_31;N;;;;;;;;D;;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_A02;0;;0;;0;0;0;0;0
23;O1_B101_TRM001_A02;GWMax RaumtemperaturSiZi 238;38fcf4f1;C;;N;;;;;PLC;0;001:246_83_BN_31;N;;;;;;;;D;;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_A02;0;;0;;0;0;0;0;0
24;O1_B101_ZP0001_V01;ZP Zeitprogramme     SiZi 238;38fcf4f1;C;;N;;;;;PLC;0;001:246_64_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_ZP0001_V01;0;;0;;0;0;0;0;0
25;O1_B101_CAB001_V01;XS CO2   SiZi 238_[ppm];38fcf4f1;C;;N;;;;;PLC;0;001:246_73_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_V01;0;;0;;0;0;0;0;0
26;O1_B101_CAB001_V04;XS GWMax CO2 SiZi 238_[ppm];38fcf4f1;C;;N;;;;;PLC;0;001:246_87_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_V04;0;;0;;0;0;0;0;0
