Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
1482;072HH01P05_002Z1;Pumpe 2 Sommer Waermeerzg_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_157_CI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01P05_002Z1;0;;0;;0;0;0;0;0
1483;072HH01T01_001D1;VL-Temp Waechter Sek Umf 1;19bc16d;C;;N;;;;;PLC;3;001:7201_69_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T01_001D1;0;;0;;0;0;0;0;0
1484;072HH01T02_001D1;VL-Temp Waechter Sek Umf 2;19bc16d;C;;N;;;;;PLC;3;001:7201_70_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T02_001D1;0;;0;;0;0;0;0;0
1485;072HH01T03_001M1;AU-Temperatur Waermeerzg_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_0_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T03_001M1;0;;0;;0;0;0;0;0
1486;072HH01T03_001W1;GW AUT PU1 Winter Waermeerzg_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_86_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T03_001W1;0;;0;;0;0;0;0;0
1487;072HH01T04_001M1;VL-Temperatur Sek. Waermeerzg_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_1_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T04_001M1;0;;0;;0;0;0;0;0
1488;072HH01T04_001W2;XSC VL-Temp Umformer_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_100_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T04_001W2;0;;0;;0;0;0;0;0
1489;072HH01T04_001W3;SL VL Temperatur Umformer;19bc16d;C;;N;;;;;PLC;3;001:7201_92_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T04_001W3;0;;0;;0;0;0;0;0
1490;072HH01T04_001W4;Fusspunkt VL Temp. Umformer_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_143_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T04_001W4;0;;0;;0;0;0;0;0
1491;072HH01T04_001W5;VL Min Begrenzung Umformer_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_144_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T04_001W5;0;;0;;0;0;0;0;0
1492;072HH01T04_001W6;VL Max Begrenzung Umformer_[°C];19bc16d;C;;N;;;;;PLC;3;001:7201_145_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01T04_001W6;0;;0;;0;0;0;0;0
1493;072HH01V01_001Y1;AO Regelventil Prim.1Umf 1_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_22_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V01_001Y1;0;;0;;0;0;0;0;0
1494;072HH01V01_001Y2;AO Regelventil Prim.1Umf 1_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_22_NDA;I;10000;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V01_001Y2;0;;0;;0;0;0;0;0
1495;072HH01V01_002Y1;AO Regelventil Prim.2Umf 1_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_23_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V01_002Y1;0;;0;;0;0;0;0;0
1496;072HH01V01_002Y2;AO Regelventil Prim.2Umf 1_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_23_NDA;I;10000;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V01_002Y2;0;;0;;0;0;0;0;0
1497;072HH01V02_001Y1;AO Regelventil Prim.1Umf 2_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_26_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V02_001Y1;0;;0;;0;0;0;0;0
1498;072HH01V02_001Y2;AO Regelventil Prim.1Umf 2_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_26_NDA;I;10000;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V02_001Y2;0;;0;;0;0;0;0;0
1499;072HH01V02_002Y1;AO Regelventil Prim.2Umf 2_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_27_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V02_002Y1;0;;0;;0;0;0;0;0
1500;072HH01V02_002Y2;AO Regelventil Prim.2Umf 2_[%];19bc16d;C;;N;;;;;PLC;3;001:7201_27_NDA;I;10000;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01V02_002Y2;0;;0;;0;0;0;0;0
